Study	Sample	Normal_or_Tumor	Coverage	Notes
Yokoyama et al.	UPN117_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN118_ND	Normal	targeted	N/A
Yokoyama et al.	UPN118_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN119_ND	Normal	targeted	N/A
Yokoyama et al.	UPN119_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN11_ND	Normal	targeted	N/A
Yokoyama et al.	UPN11_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN120_ND	Normal	targeted	N/A
Yokoyama et al.	UPN120_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN121_ND	Normal	targeted	N/A
Yokoyama et al.	UPN121_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN122_ND	Normal	targeted	N/A
Yokoyama et al.	UPN122_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN123_ND	Normal	targeted	N/A
Yokoyama et al.	UPN123_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN124_ND	Normal	targeted	N/A
Yokoyama et al.	UPN124_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN125_ND	Normal	targeted	N/A
Yokoyama et al.	UPN125_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN126_ND	Normal	targeted	N/A
Yokoyama et al.	UPN126_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN127_ND	Normal	targeted	N/A
Yokoyama et al.	UPN127_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN128_ND	Normal	targeted	N/A
Yokoyama et al.	UPN128_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN129_ND	Normal	targeted	N/A
Yokoyama et al.	UPN129_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN12_ND	Normal	targeted	N/A
Yokoyama et al.	UPN12_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN130_ND	Normal	targeted	N/A
Yokoyama et al.	UPN130_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN131_ND	Normal	targeted	N/A
Yokoyama et al.	UPN131_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN132_ND	Normal	targeted	N/A
Yokoyama et al.	UPN132_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN133_ND	Normal	targeted	N/A
Yokoyama et al.	UPN133_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN13_ND	Normal	targeted	N/A
Yokoyama et al.	UPN14_ND	Normal	targeted	N/A
Yokoyama et al.	UPN14_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN15_ND	Normal	targeted	N/A
Yokoyama et al.	UPN15_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN16_ND	Normal	targeted	N/A
Yokoyama et al.	UPN16_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN17_ND	Normal	targeted	N/A
Yokoyama et al.	UPN17_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN18_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN19_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN1_ND	Normal	targeted	N/A
Yokoyama et al.	UPN1_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN20_ND	Normal	targeted	N/A
Yokoyama et al.	UPN20_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN21_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN22_ND	Normal	targeted	N/A
Yokoyama et al.	UPN22_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN23_ND	Normal	targeted	N/A
Yokoyama et al.	UPN23_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN24_ND	Normal	targeted	N/A
Yokoyama et al.	UPN24_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN25_ND	Normal	targeted	N/A
Yokoyama et al.	UPN25_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN26_ND	Normal	targeted	N/A
Yokoyama et al.	UPN26_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN27_ND	Normal	targeted	N/A
Yokoyama et al.	UPN27_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN28_ND	Normal	targeted	N/A
Yokoyama et al.	UPN28_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN29_ND	Normal	targeted	N/A
Yokoyama et al.	UPN29_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN2_ND	Normal	targeted	N/A
Yokoyama et al.	UPN2_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN30_ND	Normal	targeted	N/A
Yokoyama et al.	UPN30_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN31_ND	Normal	targeted	N/A
Yokoyama et al.	UPN31_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN36_1_10	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_11	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_13	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_14	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_15	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_17	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_18	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_4	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_5	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_6	Normal	targeted	N/A
Yokoyama et al.	UPN36_1_7	Normal	targeted	N/A
Yokoyama et al.	UPN37_1_1	Normal	targeted	N/A
Yokoyama et al.	UPN37_1_10	Normal	targeted	N/A
Yokoyama et al.	UPN37_1_11	Normal	targeted	N/A
Yokoyama et al.	UPN37_1_9	Normal	targeted	N/A
Yokoyama et al.	UPN37_2_11	Normal	targeted	N/A
Yokoyama et al.	UPN37_2_13	Normal	targeted	N/A
Yokoyama et al.	UPN37_2_19	Normal	targeted	N/A
Yokoyama et al.	UPN37_2_2	Normal	targeted	N/A
Yokoyama et al.	UPN37_2_9	Normal	targeted	N/A
Yokoyama et al.	UPN3_ND	Normal	targeted	N/A
Yokoyama et al.	UPN3_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN49_1_1	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_2	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_3	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_4	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_5	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_7	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_8	Normal	targeted	N/A
Yokoyama et al.	UPN49_1_9	Normal	targeted	N/A
Yokoyama et al.	UPN4_ND	Normal	targeted	N/A
Yokoyama et al.	UPN4_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN55_1_11	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_12	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_13	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_15	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_16	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_20	Normal	targeted	N/A
Yokoyama et al.	UPN55_1_23	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_1	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_10	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_11	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_15	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_18	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_20	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_21	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_3	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_6	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_8	Normal	targeted	N/A
Yokoyama et al.	UPN58_1_9	Normal	targeted	N/A
Yokoyama et al.	UPN5_ND	Normal	targeted	N/A
Yokoyama et al.	UPN5_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN6_ND	Normal	targeted	N/A
Yokoyama et al.	UPN6_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN7_ND	Normal	targeted	N/A
Yokoyama et al.	UPN7_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN8_ND	Normal	targeted	N/A
Yokoyama et al.	UPN8_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN97_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN98_ND	Normal	targeted	N/A
Yokoyama et al.	UPN98_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN99_ND	Normal	targeted	N/A
Yokoyama et al.	UPN99_PC	Tumor	targeted	N/A
Yokoyama et al.	UPN9_ND	Normal	targeted	N/A
Yokoyama et al.	UPN9_PC	Tumor	targeted	N/A
